"ADDRESS","CITY","STATE","ZIPCODE"
"17615 SW 119TH AVE","MIAMI","FL",33177
"310 N DOBSON RD STE 5","MESA","AZ",85201
"8201 NW 64TH ST UNIT 1","MIAMI","FL",33166
"13610 N SCOTTSDALE RD","SCOTTSDALE","AZ",85254
"600 N LAKE SHORE DR","CHICAGO","IL",60611
"1411 4TH AVE","SEATTLE","WA",98101
"901 PONCE DE LEON BLVD","CORAL GABLES","FL",33134
"18110 E SUNNYBROOK LN","GILBERT","AZ",85298
"3621 E WIER AVE","PHOENIX","AZ",85040
"3625 W BELMONT AVE","CHICAGO","IL",60618
"4825 SCOTT ST STE 208","SCHILLER PARK","IL",60176
"2833 S QUINN ST","CHICAGO","IL",60608
"2270 ENON RD SW","ATLANTA","GA",30331
"4145 S ROGER WAY","CHANDLER","AZ",85249
"5040 E SHEA BLVD STE 254","SCOTTSDALE","AZ",85254
"7150 W ROOSEVELT ST","PHOENIX","AZ",85043
"9655 SE 36TH ST STE 107","MERCER ISLAND","WA",98040
"6810 152ND AVE NE","REDMOND","WA",98052
"6099 N SAUGANASH AVE","CHICAGO","IL",60646
"12980 ORTEGA LN","NORTH MIAMI","FL",33181
"600 SW KENYON ST APT H20","SEATTLE","WA",98106
"901 S 7TH AVE","PHOENIX","AZ",85007
"3314 FUHRMAN AVE E APT 1","SEATTLE","WA",98102
"20609 SE 271ST ST","COVINGTON","WA",98042
"17403 S DIXIE HWY","MIAMI","FL",33157
"1725 W HARRISON ST","CHICAGO","IL",60612
"990 E RIGGS RD","CHANDLER","AZ",85249
